TimeCEST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,11,9,84,1008,25,SSW,14.4,,,Rain,Light Rain,200,2014-05-10 22:00:00
12:00 AM,11.0,9.0,88,1008,-9999.0,SSW,13.0,-,N/A,,Clear,200,2014-05-10 22:00:00
12:09 AM,11.0,9.0,88,1008,10.0,SSW,14.8,-,N/A,Rain,Light Rain,200,2014-05-10 22:09:00
12:30 AM,11.0,9.0,88,1008,10.0,SSW,20.4,-,N/A,Rain,Light Rain,210,2014-05-10 22:30:00
1:00 AM,11,9,85,1008,20,SSW,18.0,,,Rain,Light Rain,210,2014-05-10 23:00:00
1:00 AM,11.0,9.0,88,1007,10.0,SSW,18.5,-,N/A,Rain,Light Rain,210,2014-05-10 23:00:00
1:30 AM,11.0,9.0,88,1007,10.0,SSW,20.4,-,N/A,,Partly Cloudy,210,2014-05-10 23:30:00
2:00 AM,11,9,84,1007,25,SSW,18.0,,,Rain,Light Rain,210,2014-05-11 00:00:00
2:00 AM,11.0,9.0,88,1006,10.0,SSW,18.5,-,N/A,,Scattered Clouds,200,2014-05-11 00:00:00
2:25 AM,11.0,9.0,88,1006,10.0,SSW,27.8,-,N/A,Rain,Light Rain,210,2014-05-11 00:25:00
2:30 AM,11.0,9.0,88,1006,10.0,SSW,29.6,-,N/A,Rain,Light Rain,210,2014-05-11 00:30:00
2:41 AM,11.0,9.0,88,1006,10.0,SSW,29.6,-,N/A,,Partly Cloudy,210,2014-05-11 00:41:00
3:00 AM,11,9,85,1006,25,SSW,25.2,,,Rain,Light Rain,210,2014-05-11 01:00:00
3:00 AM,11.0,9.0,88,1006,10.0,SSW,27.8,-,N/A,,Partly Cloudy,210,2014-05-11 01:00:00
3:30 AM,11.0,9.0,88,1006,10.0,SSW,24.1,-,N/A,,Mostly Cloudy,210,2014-05-11 01:30:00
4:00 AM,11,9,83,1006,25,SSW,18.0,,,,Mostly Cloudy,200,2014-05-11 02:00:00
4:00 AM,11.0,9.0,88,1006,10.0,SSW,16.7,-,N/A,,Scattered Clouds,200,2014-05-11 02:00:00
