ALMT,Maximální teplotaC,Průměrná teplotaC,Minimální teplotaC,Rosný bodC,MeanDew PointC,Min DewpointC,Max Vlhkost, Mean Vlhkost, Min Vlhkost, Max Tlak přepočtený na hladinu mořehPa, Mean Tlak přepočtený na hladinu mořehPa, Min Tlak přepočtený na hladinu mořehPa, Max ViditelnostKm, Mean ViditelnostKm, Min ViditelnostkM, Max Rychlost větruKm/h, Mean Rychlost větruKm/h, Max Nárazová rychlost větruKm/h,Srážkymm, CloudCover, Události,WindDirDegrees
2015-8-1,31,26,21,10,4,-1,43,24,12,1012,1010,1005,10,10,5,21,10,,0.00,6,,203
2015-8-2,33,27,20,12,7,1,52,30,13,1013,1011,1004,10,10,10,26,6,,0.00,5,,71
2015-8-3,34,28,22,14,8,-1,49,30,11,1011,1008,1002,10,10,10,14,6,,0.00,6,,200
2015-8-4,36,28,21,11,3,-5,49,23,8,1010,1008,1000,10,10,10,14,10,,0.00,5,,224
2015-8-5,38,30,22,10,2,-3,42,19,7,1007,1005,997,19,11,10,18,8,,0.00,3,,127
2015-8-6,37,31,24,11,2,-8,40,18,5,1005,1003,995,19,10,10,18,10,,0.00,3,,101
2015-8-7,36,30,24,11,4,-1,35,19,9,1006,1004,997,10,10,10,18,10,,0.00,5,,191
2015-8-8,32,26,21,9,4,-2,43,23,13,1017,1012,1002,19,10,10,26,11,35,0.00,5,Déšť,258
2015-8-9,28,23,18,9,3,-2,52,28,14,1018,1015,1009,10,10,10,14,8,,0.00,4,,41
2015-8-10,27,21,16,8,1,-6,45,24,12,1015,1013,1007,10,10,5,26,10,,0.00,6,Déšť,232
2015-8-11,30,24,18,9,1,-7,40,21,8,1018,1016,1011,10,10,10,26,10,40,0.00,5,,237
2015-8-12,32,24,17,5,1,-8,54,24,7,1016,1013,1006,19,10,5,14,8,26,0.00,1,,92
2015-8-13,36,26,15,15,3,-7,82,31,6,1020,1009,999,19,10,3,32,10,47,13.97,4,Déšť-Bouřka,230
2015-8-14,16,14,12,14,12,9,94,78,59,1023,1017,1012,10,9,3,29,10,,13.97,7,Déšť,206
2015-8-15,23,16,9,11,6,0,88,53,21,1022,1019,1014,19,10,10,26,8,,7.87,2,,74
2015-8-16,28,20,12,13,8,1,94,54,17,1016,1013,1007,10,10,5,14,5,,0.00,3,,63
2015-8-17,30,23,17,16,8,0,77,43,16,1012,1010,1004,19,9,5,18,6,,0.00,3,,104
2015-8-18,34,27,19,13,6,-3,63,32,8,1012,1011,1005,19,10,10,14,6,,0.00,1,,104
2015-8-19,36,29,21,9,4,-5,52,27,7,1013,1011,1004,19,11,10,18,8,,0.00,2,,95
2015-8-20,39,31,23,13,5,-8,55,25,5,1010,1008,1000,19,10,5,14,6,,0.00,2,,101
2015-8-21,36,29,23,11,5,-2,49,25,8,1009,1005,997,19,10,10,18,6,,0.00,4,,147
2015-8-22,25,20,15,14,9,1,88,52,14,1013,1009,1001,10,10,5,29,11,40,7.11,6,Déšť-Bouřka,218
2015-8-23,23,18,14,13,8,3,88,51,25,1015,1014,1010,10,10,10,29,10,,7.11,5,Déšť,71
2015-8-24,25,19,13,12,9,5,88,57,28,1013,1010,1005,10,10,5,18,5,,0.00,4,,24
2015-8-25,30,23,16,13,10,6,77,48,22,1008,1005,999,10,10,10,14,6,,0.00,5,,116
2015-8-26,22,17,12,11,8,0,88,52,22,1019,1015,1002,10,9,3,32,13,,11.94,6,Déšť,222
2015-8-27,24,18,11,12,8,6,94,57,31,1019,1016,1012,19,10,10,14,6,,0.00,5,,345
2015-8-28,20,17,13,13,9,4,87,59,35,1021,1020,1016,10,10,3,21,8,,1.02,7,Déšť,221
2015-8-29,22,17,12,9,6,1,82,50,21,1021,1019,1015,10,10,5,14,5,,0.00,5,,197
2015-8-30,26,20,14,8,4,-3,72,40,15,1020,1018,1013,10,10,5,18,6,35,0.00,4,,127
2015-8-31,28,21,14,8,3,-3,62,38,14,1017,1015,1009,10,10,5,14,8,,0.00,2,,136
